EntryTime,ExitTime,Side,EntryPrice,ExitPrice,Qty,Fees,GrossPnL,NetPnL,Strategy,WF_TrainStart,WF_TrainEnd,WF_TestStart,WF_TestEnd,WF_Step
2023-01-17 17:00:00,2023-01-17 22:00:00,SHORT,4201.0,4203.5,1.0,0.0,-2.5,-2.5,macd breakout,2023-01-01,2023-01-14,2023-01-15,2023-01-21,1
2023-01-17 22:00:00,2023-01-18 03:00:00,LONG,4203.5,4206.0,1.0,0.0,2.5,2.5,macd breakout,2023-01-01,2023-01-14,2023-01-15,2023-01-21,1
2023-01-18 03:00:00,2023-01-18 08:00:00,SHORT,4206.0,4208.5,1.0,0.0,-2.5,-2.5,macd breakout,2023-01-01,2023-01-14,2023-01-15,2023-01-21,1
2023-01-18 08:00:00,2023-01-18 13:00:00,LONG,4208.5,4211.0,1.0,0.0,2.5,2.5,macd breakout,2023-01-01,2023-01-14,2023-01-15,2023-01-21,1
2023-01-18 13:00:00,2023-01-18 18:00:00,SHORT,4211.0,4213.5,1.0,0.0,-2.5,-2.5,macd breakout,2023-01-01,2023-01-14,2023-01-15,2023-01-21,1
2023-01-18 18:00:00,2023-01-18 23:00:00,LONG,4213.5,4216.0,1.0,0.0,2.5,2.5,macd breakout,2023-01-01,2023-01-14,2023-01-15,2023-01-21,1
2023-01-18 23:00:00,2023-01-19 04:00:00,SHORT,4216.0,4218.5,1.0,0.0,-2.5,-2.5,macd breakout,2023-01-01,2023-01-14,2023-01-15,2023-01-21,1
2023-01-19 04:00:00,2023-01-19 09:00:00,LONG,4218.5,4221.0,1.0,0.0,2.5,2.5,macd breakout,2023-01-01,2023-01-14,2023-01-15,2023-01-21,1
2023-01-19 09:00:00,2023-01-19 14:00:00,SHORT,4221.0,4223.5,1.0,0.0,-2.5,-2.5,macd breakout,2023-01-01,2023-01-14,2023-01-15,2023-01-21,1
2023-01-19 14:00:00,2023-01-19 19:00:00,LONG,4223.5,4226.0,1.0,0.0,2.5,2.5,macd breakout,2023-01-01,2023-01-14,2023-01-15,2023-01-21,1
2023-01-19 19:00:00,2023-01-20 00:00:00,SHORT,4226.0,4228.5,1.0,0.0,-2.5,-2.5,macd breakout,2023-01-01,2023-01-14,2023-01-15,2023-01-21,1
2023-01-20 00:00:00,2023-01-20 05:00:00,LONG,4228.5,4231.0,1.0,0.0,2.5,2.5,macd breakout,2023-01-01,2023-01-14,2023-01-15,2023-01-21,1
2023-01-20 05:00:00,2023-01-20 10:00:00,SHORT,4231.0,4233.5,1.0,0.0,-2.5,-2.5,macd breakout,2023-01-01,2023-01-14,2023-01-15,2023-01-21,1
2023-01-20 10:00:00,2023-01-20 15:00:00,LONG,4233.5,4236.0,1.0,0.0,2.5,2.5,macd breakout,2023-01-01,2023-01-14,2023-01-15,2023-01-21,1
2023-01-20 15:00:00,2023-01-20 20:00:00,SHORT,4236.0,4238.5,1.0,0.0,-2.5,-2.5,macd breakout,2023-01-01,2023-01-14,2023-01-15,2023-01-21,1
2023-01-20 20:00:00,2023-01-21 00:00:00,LONG,4238.5,4235.0,1.0,0.0,-3.5,-3.5,macd breakout,2023-01-01,2023-01-14,2023-01-15,2023-01-21,1
2023-02-05 01:00:00,2023-02-05 21:00:00,LONG,4421.0,4431.0,1.0,0.0,10.0,10.0,macd breakout,2023-01-22,2023-02-04,2023-02-05,2023-02-11,2
2023-02-05 21:00:00,2023-02-06 01:00:00,SHORT,4431.0,4433.0,1.0,0.0,-2.0,-2.0,macd breakout,2023-01-22,2023-02-04,2023-02-05,2023-02-11,2
2023-02-06 01:00:00,2023-02-06 07:00:00,LONG,4433.0,4436.0,1.0,0.0,3.0,3.0,macd breakout,2023-01-22,2023-02-04,2023-02-05,2023-02-11,2
2023-02-06 07:00:00,2023-02-06 12:00:00,SHORT,4436.0,4438.5,1.0,0.0,-2.5,-2.5,macd breakout,2023-01-22,2023-02-04,2023-02-05,2023-02-11,2
2023-02-06 12:00:00,2023-02-06 17:00:00,LONG,4438.5,4441.0,1.0,0.0,2.5,2.5,macd breakout,2023-01-22,2023-02-04,2023-02-05,2023-02-11,2
2023-02-06 17:00:00,2023-02-06 22:00:00,SHORT,4441.0,4443.5,1.0,0.0,-2.5,-2.5,macd breakout,2023-01-22,2023-02-04,2023-02-05,2023-02-11,2
2023-02-06 22:00:00,2023-02-07 03:00:00,LONG,4443.5,4446.0,1.0,0.0,2.5,2.5,macd breakout,2023-01-22,2023-02-04,2023-02-05,2023-02-11,2
2023-02-07 03:00:00,2023-02-07 08:00:00,SHORT,4446.0,4448.5,1.0,0.0,-2.5,-2.5,macd breakout,2023-01-22,2023-02-04,2023-02-05,2023-02-11,2
2023-02-07 08:00:00,2023-02-07 13:00:00,LONG,4448.5,4451.0,1.0,0.0,2.5,2.5,macd breakout,2023-01-22,2023-02-04,2023-02-05,2023-02-11,2
2023-02-07 13:00:00,2023-02-07 18:00:00,SHORT,4451.0,4453.5,1.0,0.0,-2.5,-2.5,macd breakout,2023-01-22,2023-02-04,2023-02-05,2023-02-11,2
2023-02-07 18:00:00,2023-02-07 23:00:00,LONG,4453.5,4456.0,1.0,0.0,2.5,2.5,macd breakout,2023-01-22,2023-02-04,2023-02-05,2023-02-11,2
2023-02-07 23:00:00,2023-02-08 04:00:00,SHORT,4456.0,4458.5,1.0,0.0,-2.5,-2.5,macd breakout,2023-01-22,2023-02-04,2023-02-05,2023-02-11,2
2023-02-08 04:00:00,2023-02-08 09:00:00,LONG,4458.5,4461.0,1.0,0.0,2.5,2.5,macd breakout,2023-01-22,2023-02-04,2023-02-05,2023-02-11,2
2023-02-08 09:00:00,2023-02-08 14:00:00,SHORT,4461.0,4463.5,1.0,0.0,-2.5,-2.5,macd breakout,2023-01-22,2023-02-04,2023-02-05,2023-02-11,2
2023-02-08 14:00:00,2023-02-08 19:00:00,LONG,4463.5,4466.0,1.0,0.0,2.5,2.5,macd breakout,2023-01-22,2023-02-04,2023-02-05,2023-02-11,2
2023-02-08 19:00:00,2023-02-09 00:00:00,SHORT,4466.0,4468.5,1.0,0.0,-2.5,-2.5,macd breakout,2023-01-22,2023-02-04,2023-02-05,2023-02-11,2
2023-02-09 00:00:00,2023-02-09 05:00:00,LONG,4468.5,4471.0,1.0,0.0,2.5,2.5,macd breakout,2023-01-22,2023-02-04,2023-02-05,2023-02-11,2
2023-02-09 05:00:00,2023-02-09 10:00:00,SHORT,4471.0,4473.5,1.0,0.0,-2.5,-2.5,macd breakout,2023-01-22,2023-02-04,2023-02-05,2023-02-11,2
2023-02-09 10:00:00,2023-02-09 15:00:00,LONG,4473.5,4476.0,1.0,0.0,2.5,2.5,macd breakout,2023-01-22,2023-02-04,2023-02-05,2023-02-11,2
2023-02-09 15:00:00,2023-02-09 20:00:00,SHORT,4476.0,4478.5,1.0,0.0,-2.5,-2.5,macd breakout,2023-01-22,2023-02-04,2023-02-05,2023-02-11,2
2023-02-09 20:00:00,2023-02-10 01:00:00,LONG,4478.5,4481.0,1.0,0.0,2.5,2.5,macd breakout,2023-01-22,2023-02-04,2023-02-05,2023-02-11,2
2023-02-10 01:00:00,2023-02-10 06:00:00,SHORT,4481.0,4483.5,1.0,0.0,-2.5,-2.5,macd breakout,2023-01-22,2023-02-04,2023-02-05,2023-02-11,2
2023-02-10 06:00:00,2023-02-10 11:00:00,LONG,4483.5,4486.0,1.0,0.0,2.5,2.5,macd breakout,2023-01-22,2023-02-04,2023-02-05,2023-02-11,2
2023-02-10 11:00:00,2023-02-10 16:00:00,SHORT,4486.0,4488.5,1.0,0.0,-2.5,-2.5,macd breakout,2023-01-22,2023-02-04,2023-02-05,2023-02-11,2
2023-02-10 16:00:00,2023-02-10 21:00:00,LONG,4488.5,4491.0,1.0,0.0,2.5,2.5,macd breakout,2023-01-22,2023-02-04,2023-02-05,2023-02-11,2
2023-02-10 21:00:00,2023-02-11 00:00:00,SHORT,4491.0,4491.0,1.0,0.0,-0.0,-0.0,macd breakout,2023-01-22,2023-02-04,2023-02-05,2023-02-11,2
